short_name,club,team_trophy,individual_trophy,trophy,year
I. Perišić,VfL Wolfsburg,0,1,Europa League participant,14
I. Perišić,FC Bayern Munich,1,0,Champions League winner,19
I. Perišić,FC Bayern Munich,1,0,German champion,19
I. Perišić,Borussia Dortmund,1,0,German champion,11
I. Perišić,FC Bayern Munich,1,0,German cup winner,19
I. Perišić,VfL Wolfsburg,1,0,German cup winner,14
I. Perišić,Borussia Dortmund,1,0,German cup winner,11
I. Perišić,Borussia Dortmund,0,1,German cup finalist,11
I. Perišić,VfL Wolfsburg,1,0,German Super Cup winner,15
I. Perišić,Club Bruges,0,1,top scorer: Jupiler Pro League - 22 goals,10
I. Perišić,Club Bruges,0,1,player of the season,10
I. Perišić,Inter Milan,0,1,Vice World Champion,18
I. Perišić,Borussia Dortmund,0,1,Champions League finalist,12
I. Perišić,Borussia Dortmund,0,1,German runner-up,12
I. Perišić,Inter Milan,1,0,Italian champion,20
I. Perišić,VfL Wolfsburg,0,1,footballer of the year,14
I. Perišić,Borussia Dortmund,0,1,German Super Cup finalist,11
